"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0033121","regulation of purine nucleotide catabolic process","16/2383","56/18860",0.285714285714286,2.26125532042443,3.59462991362206,0.00115681206245799,0.0199968004206972,0.0171990889845822,"UCHL1/MTCH2/IGF1/ZBTB20/PRKAG2/EIF6/PRKAA1/GIT1/GPD1/PSEN1/PRKAG1/DDIT4/HDAC4/PPP2CA/INSR/SRC",16
"GO:0043244","regulation of protein-containing complex disassembly","30/2383","134/18860",0.223880597014925,1.7718791689893,3.41005584141283,0.00116658481383005,0.0201076189380909,0.0172944031099271,"TAOK1/ACTN2/ASPH/DSTN/ATXN7/CALCOCO2/STMN2/WDR1/PHF23/NAV3/CLASP2/IGF1R/MTPN/SPTAN1/TMOD1/CFL1/TMOD2/RDX/MAP1B/ATG5/IRAK3/CAPZB/ATG12/WNK1/SMCR8/SPTBN1/INSR/OGFOD1/GSPT1/CAMSAP2",30
"GO:0032204","regulation of telomere maintenance","26/2383","111/18860",0.234234234234234,1.85382192935697,3.43101028843893,0.0012094008374929,0.0207857080719684,0.0178776221803623,"ERCC1/UCHL5/RAD50/MAPK1/PML/DHX36/ATR/CCT2/TFPT/INO80D/TERF1/RUVBL2/RTEL1/USP7/INO80B/CCT7/LMNA/MAP2K7/HDAC8/PKIB/ACTR8/PRKCQ/SMC5/SRC/XRCC5/NABP2",26
"GO:0043434","response to peptide hormone","81/2383","461/18860",0.175704989154013,1.3905984454237,3.22898586616341,0.00122480631069465,0.0209901620179505,0.0180534713930471,"EIF2B1/CRHBP/GOT1/SOS1/GNAS/PRKAR1A/CUL3/SGCB/RBX1/ACTN2/RAP1GDS1/INSRR/ACVR1C/PXN/SHC1/KLF11/EEF2K/PRKDC/KLF15/CRHR2/IGF1/PTK2/PAK1/SOCS3/MAPK1/SORT1/PRKCG/USO1/UPRT/GRB10/EIF2B3/MYO5A/JAK1/CYC1/VPS13C/STAT1/FABP3/KBTBD2/EIF6/SH2B2/PRKAA1/IGF1R/SORBS1/TSC2/NCL/IRS2/NEFL/GSK3B/JUND/CFL1/CITED1/SRD5A1/PDK2/PKM/LEPROTL1/AKT2/SYAP1/PIP4K2B/MAP1B/EIF2B4/RAC1/PLCB1/NR4A3/SESN2/ALAS1/MAP3K7/PRKCQ/CACNA2D3/RAF1/RANGAP1/SLC2A1/SLC34A1/INSR/CREB1/AKT1/RELA/CUL5/PTPN2/SRC/SP1/CELA2A",81
"GO:0000724","double-strand break repair via homologous recombination","40/2383","195/18860",0.205128205128205,1.62346535825344,3.32811187553239,0.00124432062438687,0.0212636618698797,0.0182887064402365,"SFPQ/FEN1/PSMD14/RAD54L/CSNK2A1/DMAP1/BRD8/UBE2N/PRKDC/HUS1/RAD50/REV3L/RAD21/KAT5/RUVBL2/MAGEF1/FUS/RTEL1/DMC1/POGZ/RAD51C/POLN/HTATSF1/MORF4L1/ABL1/WDR48/ACTB/PPP4R2/RPA3/INIP/C1QBP/ING3/ZMYND8/MEAF6/NIPBL/SMC5/RPA2/ACTR2/MBTD1/NABP2",40
"GO:0033962","P-body assembly","9/2383","23/18860",0.391304347826087,3.09693663449433,3.82671075345922,0.00124799933356343,0.0212657664217746,0.0182905165485815,"LSM4/DYNC1H1/LSM3/AGO2/EDC3/CNOT7/LIMD1/CNOT6L/TNRC6A",9
"GO:0099022","vesicle tethering","11/2383","32/18860",0.34375,2.72057280738565,3.70448831963879,0.00129715242265439,0.0219962093937794,0.0189187647387604,"EXOC7/TRAPPC11/EXOC1/TRAPPC2L/C17orf75/EXOC5/EXOC6/TRAPPC2/EXOC2/TRAPPC12/TRAPPC1",11
"GO:0001732","formation of cytoplasmic translation initiation complex","7/2383","15/18860",0.466666666666667,3.69338369002658,3.96851535578603,0.00129822135362048,0.0219962093937794,0.0189187647387604,"EIF3K/EIF3A/EIF3B/EIF3C/EIF5/EIF3M/EIF3I",7
"GO:0000819","sister chromatid segregation","46/2383","233/18860",0.197424892703863,1.56249831153791,3.28556457243536,0.00131005704240316,0.0221340428548398,0.0190373142022725,"ANAPC5/AKAP8L/DCTN2/CUL3/CHMP2B/BECN1/DYNC1LI1/KIF22/SMARCA4/TPR/SMARCA2/CDC27/CHMP3/ZWILCH/KIF2A/ACTL6B/RAD21/CCNB1/ZNF207/KAT5/CDC16/CLASP2/CHMP5/CHMP2A/LCMT1/CHAMP1/ANAPC7/TUBG1/RAB11A/ZW10/RAN/NUMA1/SMC2/ACTB/SMARCD2/BCCIP/SMC4/MAD2L1BP/CHMP4B/BRD7/NIPBL/LATS1/CCSAP/DRG1/POLDIP2/IK",46
"GO:0002181","cytoplasmic translation","42/2383","208/18860",0.201923076923077,1.59809871203073,3.29855790110396,0.00131981637565577,0.0222361175853441,0.019125107866063,"EIF2B1/EIF3K/YTHDF2/DENR/RWDD1/SYNCRIP/RPL15/EIF2B3/METTL3/DHX36/RPS16/MCTS1/RRAGA/PRKAA1/TSC2/FTSJ1/GSK3B/CPEB4/UBR4/EIF3A/ZC3H15/NEMF/PKM/RPS27A/NCBP2/AKT2/EIF2B4/EIF3B/EIF3C/DHX9/EIF5/SH3BGRL/NAA30/NMNAT2/RPL35A/AKT1/EIF3M/EIF3I/DRG1/RPS15A/EEF1D/RHEB",42
